season,name,matchpoints
2023,Gujarat Titans,20
2023,Chennai Super Kings,17
2023,Lucknow Super Giants,17
2023,Mumbai Indians,16
2023,Rajasthan Royals,14
2023,Royal Challengers Bangalore,14
2023,Kolkata Knight Riders,12
2023,Kings XI Punjab,12
2023,Delhi Capitals,10
2023,Sunrisers Hyderabad,8
2022,Gujarat Titans,20
2022,Rajasthan Royals,18
2022,Lucknow Super Giants,18
2022,Royal Challengers Bangalore,16
2022,Delhi Capitals,14
2022,Kings XI Punjab,14
2022,Kolkata Knight Riders,12
2022,Sunrisers Hyderabad,12
2022,Chennai Super Kings,8
2022,Mumbai Indians,8
2021,Delhi Capitals,20
2021,Chennai Super Kings,18
2021,Royal Challengers Bangalore,18
2021,Kolkata Knight Riders,14
2021,Mumbai Indians,14
2021,Kings XI Punjab,12
2021,Rajasthan Royals,10
2021,Sunrisers Hyderabad,6
2020,Mumbai Indians,18
2020,Delhi Capitals,16
2020,Sunrisers Hyderabad,14
2020,Royal Challengers Bangalore,14
2020,Kolkata Knight Riders,14
2020,Kings XI Punjab,12
2020,Chennai Super Kings,12
2020,Rajasthan Royals,12
2019,Mumbai Indians,18
2019,Chennai Super Kings,18
2019,Delhi Capitals,18
2019,Sunrisers Hyderabad,12
2019,Kolkata Knight Riders,12
2019,Kings XI Punjab,12
2019,Rajasthan Royals,11
2019,Royal Challengers Bangalore,11
2018,Sunrisers Hyderabad,18
2018,Chennai Super Kings,18
2018,Kolkata Knight Riders,16
2018,Rajasthan Royals,14
2018,Mumbai Indians,12
2018,Royal Challengers Bangalore,12
2018,Kings XI Punjab,12
2018,Delhi Capitals,10
2017,Mumbai Indians,20
2017,Rising Pune Supergiant,18
2017,Sunrisers Hyderabad,17
2017,Kolkata Knight Riders,16
2017,Kings XI Punjab,14
2017,Delhi Capitals,12
2017,Gujarat Titans,8
2017,Royal Challengers Bangalore,7
2016,Gujarat Titans,18
2016,Royal Challengers Bangalore,16
2016,Sunrisers Hyderabad,16
2016,Kolkata Knight Riders,16
2016,Mumbai Indians,14
2016,Delhi Capitals,14
2016,Rising Pune Supergiant,10
2016,Kings XI Punjab,8
2015,Chennai Super Kings,18
2015,Mumbai Indians,16
2015,Royal Challengers Bangalore,16
2015,Rajasthan Royals,16
2015,Kolkata Knight Riders,15
2015,Sunrisers Hyderabad,14
2015,Delhi Capitals,11
2015,Kings XI Punjab,6
2014,Kings XI Punjab,22
2014,Kolkata Knight Riders,18
2014,Chennai Super Kings,18
2014,Mumbai Indians,14
2014,Rajasthan Royals,14
2014,Sunrisers Hyderabad,12
2014,Royal Challengers Bangalore,10
2014,Delhi Capitals,4
2013,Chennai Super Kings,22
2013,Mumbai Indians,22
2013,Rajasthan Royals,20
2013,Sunrisers Hyderabad,20
2013,Royal Challengers Bangalore,18
2013,Kings XI Punjab,16
2013,Kolkata Knight Riders,12
2013,Pune Warriors,8
2013,Delhi Capitals,6
2012,Delhi Capitals,22
2012,Kolkata Knight Riders,21
2012,Mumbai Indians,20
2012,Chennai Super Kings,17
2012,Royal Challengers Bangalore,17
2012,Kings XI Punjab,16
2012,Rajasthan Royals,14
2012,Sunrisers Hyderabad,9
2012,Pune Warriors,8
2011,Royal Challengers Bangalore,19
2011,Chennai Super Kings,18
2011,Mumbai Indians,18
2011,Kolkata Knight Riders,16
2011,Kings XI Punjab,14
2011,Rajasthan Royals,13
2011,Sunrisers Hyderabad,12
2011,Kochi Tuskers Kerala,12
2011,Pune Warriors,9
2011,Delhi Capitals,9
2010,Mumbai Indians,20
2010,Sunrisers Hyderabad,16
2010,Chennai Super Kings,14
2010,Royal Challengers Bangalore,14
2010,Delhi Capitals,14
2010,Kolkata Knight Riders,14
2010,Rajasthan Royals,12
2010,Kings XI Punjab,8
2009,Delhi Capitals,20
2009,Chennai Super Kings,17
2009,Royal Challengers Bangalore,16
2009,Sunrisers Hyderabad,14
2009,Kings XI Punjab,14
2009,Rajasthan Royals,13
2009,Mumbai Indians,11
2009,Kolkata Knight Riders,7
2008,Rajasthan Royals,22
2008,Kings XI Punjab,20
2008,Chennai Super Kings,16
2008,Delhi Capitals,15
2008,Mumbai Indians,14
2008,Kolkata Knight Riders,13
2008,Royal Challengers Bangalore,8
2008,Sunrisers Hyderabad,4
